STRG+X;Ausgewähltes Element ausschneiden;Windows
STRG+C (oder STRG+EINFG);Ausgewähltes Element kopieren;Windows
STRG+V (oder UMSCHALT+EINFG);Ausgewähltes Element einfügen;Windows
STRG+Z;Aktion rückgängig machen;Windows
ALT+TAB;Zwischen geöffneten Apps wechseln;Windows
ALT+F4;Aktives Element schließen oder aktive App beenden;Windows
Windows-Logo-Taste +L;PC sperren;Windows
Windows-Logo-Taste‌ +D;Desktop anzeigen und ausblenden;Windows
F2;Ausgewähltes Element umbenennen;Windows
F3;Nach einer Datei oder einem Ordner im Datei-Explorer suchen;Windows
F4;Adressleistenliste im Datei-Explorer anzeigen;Windows
F5;Aktives Fenster aktualisieren;Windows
F6;Zwischen Bildschirmelementen in einem Fenster oder auf dem Desktop umschalten;Windows
F10;Menüleiste in der aktiven App aktivieren;Windows
ALT+F8;Ihr Kennwort auf dem Anmeldebildschirm anzeigen;Windows
ALT+ESC;Zwischen Elementen in der Reihenfolge, in der sie geöffnet wurden, umschalten;Windows
ALT+unterstrichener Buchstabe;Befehl für diesen Buchstaben ausführen;Windows
ALT+EINGABETASTE;Eigenschaften für das ausgewählte Element anzeigen;Windows
ALT+LEERTASTE;Kontextmenü für das aktive Fenster öffnen;Windows
ALT+NACH-LINKS;Zurück;Windows
ALT+NACH-RECHTS;Weiter;Windows
ALT+BILD-AUF;Um einen Bildschirm nach oben wechseln;Windows
ALT+BILD-AB;Um einen Bildschirm nach unten wechseln;Windows
STRG+F4;Aktives Dokument schließen (in Apps im Vollbildmodus, bei denen mehrere Dokumente gleichzeitig geöffnet sein können);Windows
STRG+A;Alle Elemente in einem Dokument oder Fenster auswählen;Windows
STRG+D (oder ENTF);Ausgewähltes Element löschen und in den Papierkorb verschieben;Windows
STRG+R (oder F5);Aktives Fenster aktualisieren;Windows
STRG+Y;Einer Aktion wiederholen;Windows
STRG+NACH-RECHTS;Cursor an den Anfang des nächsten Worts verschieben;Windows
STRG+NACH-LINKS;Cursor an den Anfang des vorherigen Worts verschieben;Windows
STRG+NACH-UNTEN;Cursor an den Anfang des nächsten Absatzes verschieben;Windows
STRG+NACH-OBEN;Cursor an den Anfang des vorherigen Absatzes verschieben;Windows
STRG+ALT+TAB;Zwischen allen geöffneten Apps mithilfe der Pfeiltasten umschalten;Windows
STRG+ALT+UMSCHALT+Pfeiltasten;Eine im Startmenü hervorgehobene Gruppe oder Kachel in die angegebene Richtung verschieben;Windows
STRG+Pfeiltaste (zum Wechseln zu einem Element)+LEERTASTE;Mehrere einzelne Elemente in einem Fenster oder auf dem Desktop auswählen;Windows
STRG+UMSCHALT mit einer Pfeiltaste;Textblock markieren;Windows
STRG+ESC;Menü „Start“ öffnen;Windows
STRG+UMSCHALT+ESC;Task-Manager öffnen;Windows
STRG+UMSCHALT;Tastaturlayout wechseln (wenn mehrere Tastaturlayouts verfügbar sind);Windows
STRG+LEERTASTE;Eingabemethoden-Editor für Chinesisch aktivieren bzw. deaktivieren;Windows
UMSCHALT+F10;Kontextmenüs für das ausgewählte Element anzeigen;Windows
UMSCHALT mit einer Pfeiltaste;Mehrere Elemente in einem Fenster oder auf dem Desktop bzw. Text in einem Dokument auswählen;Windows
UMSCHALT+ENTF;Ausgewähltes Element ohne vorheriges Verschieben in den Papierkorb löschen;Windows
NACH-RECHTS-TASTE;Nächstes Menü rechts des aktuellen Menüs oder Untermenü öffnen;Windows
NACH-LINKS-TASTE;Nächstes Menü links des aktuellen Menüs öffnen oder Untermenü schließen;Windows
ESC;Aktuelle Aufgabe anhalten oder beenden;Windows
Befehlstaste-X;Ausschneiden: Ausgewähltes Objekt entfernen und in die Zwischenablage kopieren.;MacOS
Befehlstaste-C;Kopieren: Ausgewähltes Objekt in die Zwischenablage kopieren. Dies funktioniert auch mit Dateien im Finder.;MacOS
Befehlstaste-V;Einsetzen: Den Inhalt der Zwischenablage in das aktuelle Dokument oder die aktuelle App einfügen. Dies funktioniert auch mit Dateien im Finder.;MacOS
Befehlstaste-Z;Widerrufen: Den vorherigen Befehl rückgängig machen. Sie können anschließend zum Wiederholen die Tastenkombination Befehlstaste-Umschalttaste-Z drücken, um den Widerrufen-Befehl umzukehren. In manchen Apps können Sie mehrere Befehle widerrufen und wiederholen.;MacOS
Befehlstaste-A;Alle auswählen: Alle Objekte auswählen.;MacOS
Befehlstaste-F;Suchen: Ein Suchfenster öffnen oder Objekte in einem Dokument suchen.;MacOS
Befehlstaste-G;Weitersuchen: Das nächste Auftreten des gefundenen Objekts suchen (vorwärts suchen). Um das vorherige Auftreten zu suchen (rückwärts suchen), drücken Sie Befehlstaste-Umschalttaste-G.;MacOS
Befehlstaste-H;Ausblenden: Die Fenster der vordersten App ausblenden. Um nur die vorderste App anzuzeigen und alle anderen Apps auszublenden, drücken Sie Befehlstaste-Wahltaste-H.;MacOS
Befehlstaste-M;Im Dock ablegen: Das vorderste Fenster im Dock ablegen. Um alle Fenster der vordersten App im Dock abzulegen, drücken Sie Befehlstaste-Wahltaste-M.;MacOS
Befehlstaste-N;Neu: Ein neues Dokument oder Fenster öffnen.;MacOS
Befehlstaste-O;Öffnen: Das ausgewählte Objekt oder ein Dialogfenster zur Auswahl einer Datei öffnen.;MacOS
Befehlstaste-P;Drucken: Das aktuelle Dokument drucken.;MacOS
Befehlstaste-S;Sichern: Das aktuelle Dokument sichern.;MacOS
Befehlstaste-W;Schließen: Das vorderste Fenster schließen. Um alle Fenster der App zu schließen, drücken Sie Befehlstaste-Wahltaste-W.;MacOS
Befehlstaste-Q;Beenden: Die App beenden.;MacOS
Befehlstaste-Wahltaste-Esc;Sofort beenden: App auswählen, die sofort beendet werden soll. Um nur die vorderste App sofort zu beenden, halten Sie die Tastenkombination Befehlstaste-Umschalttaste-Wahltaste-Esc drei Sekunden lang gedrückt.;MacOS
Befehlstaste-Leertaste;Spotlight: Das Spotlight-Suchfeld ein- oder ausblenden. Um eine Spotlight-Suche aus einem Finder-Fenster durchzuführen, drücken Sie Befehlstaste-Wahltaste-Leertaste. Wenn Sie mehrere Eingabequellen verwenden, um in anderen Sprachen zu schreiben, ändern diese Kurzbefehle die Eingabequelle, anstatt Spotlight anzuzeigen.;MacOS
Leertaste;Übersicht: Die Übersicht verwenden, um eine Schnellvorschau des ausgewählten Objekts anzuzeigen.;MacOS
Befehlstaste-Tabulatortaste;Apps wechseln: Unter den geöffneten Apps zur zuletzt verwendeten wechseln. ;MacOS
Befehlstaste-Umschalttaste-Tilde (~);Fenster wechseln: Zum nächsten zuletzt verwendeten Fenster der vordersten App wechseln. ;MacOS
Befehlstaste-Umschalttaste-3;Bildschirmfoto: Ein Bildschirmfoto des gesamten Bildschirms aufnehmen. Hier lernen Sie weitere Bildschirmfoto-Kurzbefehle kennen.;MacOS
Befehlstaste-Komma (,);Einstellungen: Einstellungen für die vorderste App öffnen.;MacOS
Befehlstaste-Ctrl-Ein-/Ausschalter;Neustart des Mac erzwingen.;MacOS
Umschalttaste-Ctrl-(Ein-/Ausschalter oder Medienauswurftaste );Den Monitor in den Ruhezustand versetzen.;MacOS
Befehlstaste-Ctrl-Medienauswurftaste ;Alle Apps beenden und den Mac anschließend neu starten. Falls geöffnete Dokumente nicht gesicherte Änderungen enthalten, werden Sie gefragt, ob Sie diese sichern möchten.;MacOS
Befehlstaste-Wahltaste-Ctrl-(Ein-/Ausschalter oder Medienauswurftaste );Alle Apps beenden und den Mac anschließend ausschalten. Falls geöffnete Dokumente nicht gesicherte Änderungen enthalten, werden Sie gefragt, ob Sie diese sichern möchten.;MacOS
Befehlstaste-Umschalttaste-Q;Von Ihrem OS X-Benutzeraccount abmelden. Sie werden aufgefordert, dies zu bestätigen.;MacOS
Befehlstaste-Umschalttaste-Wahltaste-Q;Sofort von Ihrem OS X-Benutzeraccount abmelden, ohne Bestätigungsmeldung.;MacOS
Befehlstaste-B;Den ausgewählten Text fett formatieren bzw. Fettschrift ein- oder ausschalten. ;MacOS
Befehlstaste-I;Den ausgewählten Text kursiv formatieren bzw. Kursivschrift ein- oder ausschalten.;MacOS
Befehlstaste-U;Den ausgewählten Text unterstrichen formatieren bzw. Unterstreichung ein- oder ausschalten.;MacOS
Befehlstaste-T;"Das Fenster ""Schriften"" ein- oder ausblenden.";MacOS
Befehlstaste-D;"Den Ordner ""Schreibtisch"" in den Dialogfenstern ""Öffnen"" oder ""Sichern"" auswählen.";MacOS
Befehlstaste-Ctrl-D;Die Definition eines ausgewählten Wortes ein- oder ausblenden.;MacOS
Befehlstaste-Umschalttaste-Doppelpunkt (:);"Fenster ""Rechtschreibung und Grammatik"" einblenden.";MacOS
"Befehlstaste-Semikolon (;)";Falsch geschriebene Wörter im Dokument suchen.;MacOS
Wahltaste-Rückschritttaste;Das Wort links von der Einfügemarke löschen.;MacOS
Ctrl-H;Das Zeichen links von der Einfügemarke löschen. Alternativ verwenden Sie die Rückschritttaste.;MacOS
Ctrl-D;Das Zeichen rechts von der Einfügemarke löschen. Alternativ verwenden Sie Fn-Rückschritttaste.;MacOS
Fn-Rückschritttaste;Vorwärts löschen auf Tastaturen, die keine Entf-Taste  haben. Alternativ verwenden Sie Ctrl-D.;MacOS
Ctrl-K;Text zwischen der Einfügemarke und dem Ende der aktuellen Zeile oder des Absatzes löschen.;MacOS
Befehlstaste-Rückschritttaste;"""Löschen"" oder ""Nicht sichern"" in Dialogfenstern mit einer Taste ""Löschen"" oder ""Nicht sichern"" auswählen.";MacOS
Fn-Aufwärtspfeil;Seite nach oben: Eine Seite nach oben blättern. ;MacOS
Fn-Abwärtspfeil;Seite nach unten: Eine Seite nach unten blättern.;MacOS
Fn-Linkspfeil;Pos1: Zum Anfang eines Dokuments blättern.;MacOS
Fn-Rechtspfeil;Ende: Zum Ende eines Dokuments blättern.;MacOS
Befehlstaste-Aufwärtspfeil;Einfügemarke an den Anfang des Dokuments bewegen.;MacOS
Befehlstaste-Abwärtspfeil;Einfügemarke an das Ende des Dokuments bewegen.;MacOS
Befehlstaste-Linkspfeil;Einfügemarke an den Anfang der aktuellen Zeile bewegen.;MacOS
Befehlstaste-Rechtspfeil;Einfügemarke an das Ende der aktuellen Zeile bewegen.;MacOS
Wahltaste-Linkspfeil;Einfügemarke an den Anfang des vorhergehenden Wortes bewegen.;MacOS
Wahltaste-Rechtspfeil;Einfügemarke an das Ende des nächsten Wortes bewegen.;MacOS
Befehlstaste-Umschalttaste-Aufwärtspfeil;Text zwischen der Einfügemarke und dem Anfang des Dokuments markieren.;MacOS
Befehlstaste-Umschalttaste-Abwärtspfeil;Text zwischen der Einfügemarke und dem Ende des Dokuments markieren.;MacOS
Befehlstaste-Umschalttaste-Linkspfeil;Text zwischen der Einfügemarke und dem Anfang der aktuellen Zeile markieren.;MacOS
Befehlstaste-Umschalttaste-Rechtspfeil;Text zwischen der Einfügemarke und dem Ende der aktuellen Zeile markieren.;MacOS
Umschalttaste-Aufwärtspfeil;Textauswahl auf das der aktuellen Position am nächsten liegende Zeichen in der darüberliegenden Zeile erweitern.;MacOS
Umschalttaste-Abwärtspfeil;Textauswahl auf das der aktuellen Position am nächsten liegende Zeichen in der darunterliegenden Zeile erweitern.;MacOS
Umschalttaste-Linkspfeil;Textauswahl um ein Zeichen nach links erweitern.;MacOS
Umschalttaste-Rechtspfeil;Textauswahl um ein Zeichen nach rechts erweitern.;MacOS
Umschalttaste-Wahltaste-Aufwärtspfeil;Textauswahl bis zum Anfang des aktuellen Absatzes erweitern, bei nochmaligem Drücken bis zum Anfang des nächsten Absatzes.;MacOS
Umschalttaste-Wahltaste-Abwärtspfeil;Textauswahl bis zum Ende des aktuellen Absatzes erweitern, bei nochmaligem Drücken bis zum Ende des nächsten Absatzes.;MacOS
Umschalttaste-Wahltaste-Linkspfeil;Textauswahl bis zum Anfang des aktuellen Wortes erweitern, bei nochmaligem Drücken bis zum Anfang des nächsten Wortes.;MacOS
Umschalttaste-Wahltaste-Rechtspfeil;Textauswahl bis zum Ende des aktuellen Wortes erweitern, bei nochmaligem Drücken bis zum Ende des nächsten Wortes.;MacOS
Ctrl-A;Zum Anfang der Zeile oder des Absatzes bewegen.;MacOS
Ctrl-E;Zum Ende einer Zeile oder eines Absatzes bewegen.;MacOS
Ctrl-F;Ein Zeichen vor bewegen.;MacOS
Ctrl-B;Ein Zeichen zurück bewegen.;MacOS
Ctrl-L;Cursor oder Auswahl im sichtbaren Bereich zentrieren.;MacOS
Ctrl-P;Eine Zeile nach oben bewegen.;MacOS
Ctrl-N;Eine Zeile nach unten bewegen.;MacOS
Ctrl-O;Neue Zeile hinter der Einfügemarke einfügen.;MacOS
Ctrl-T;Das Zeichen hinter der Einfügemarke mit dem Zeichen davor austauschen.;MacOS
Befehlstaste-linke geschweifte Klammer ({);Linksbündig.;MacOS
Befehlstaste-rechte geschweifte Klammer (});Rechtsbündig.;MacOS
Befehlstaste-Umschalttaste-vertikaler Balken (|);Zentrieren.;MacOS
Befehlstaste-Wahltaste-F;Zum Suchfeld wechseln. ;MacOS
Befehlstaste-Wahltaste-T;Symbolleiste in der App ein- oder ausblenden.;MacOS
Befehlstaste-Wahltaste-C;Stil kopieren: Formatierungseinstellungen des ausgewählten Objekts in die Zwischenablage kopieren.;MacOS
Befehlstaste-Wahltaste-V;Stil einsetzen: Die kopierten Formatierungseinstellungen auf das ausgewählte Objekt anwenden.;MacOS
Befehlstaste-Umschalttaste-Wahltaste-V;Einsetzen und Stil anpassen: Den Stil des umgebenden Inhalts auf das darin eingesetzte Objekt anwenden.;MacOS
Befehlstaste-Wahltaste-I;"Das Fenster ""Informationen"" ein- oder ausblenden.";MacOS
Befehlstaste-Umschalttaste-P;Papierformat: Ein Fenster zur Auswahl von Dokumenteinstellungen anzeigen.;MacOS
Befehlstaste-Umschalttaste-S;"Dialogfenster ""Sichern unter"" anzeigen oder aktuelles Dokument duplizieren.";MacOS
Befehlstaste-Umschalttaste-;Ausgewähltes Objekt verkleinern.;MacOS
Minus-Zeichen (-)    ;;MacOS
Befehlstaste-Umschalttaste-;Ausgewähltes Objekt vergrößern. Befehlstaste-Gleichheitszeichen (=) führt dieselbe Funktion aus.;MacOS
Plus-Zeichen (+);;MacOS
Befehlstaste-Umschalttaste-;Hilfe-Menü öffnen.;MacOS
Fragezeichen (?);;MacOS
Befehlstaste-D;Ausgewählte Dateien duplizieren.;MacOS
Befehlstaste-E;Ausgewähltes Laufwerk oder Volume auswerfen.;MacOS
Befehlstaste-F;Eine Spotlight-Suche im Finder-Fenster starten.;MacOS
Befehlstaste-I;"Fenster ""Informationen"" für eine markierte Datei anzeigen.";MacOS
Befehlstaste-Umschalttaste-C;"Fenster ""Computer"" öffnen.";MacOS
Befehlstaste-Umschalttaste-D;"Ordner ""Schreibtisch"" öffnen.";MacOS
Befehlstaste-Umschalttaste-F;"Fenster ""Alle meine Dateien"" öffnen.";MacOS
Befehlstaste-Umschalttaste-G;"Ein Fenster ""Gehe zum Ordner"" öffnen.";MacOS
Befehlstaste-Umschalttaste-H;Benutzerordner des aktuellen OS X-Benutzeraccounts öffnen.;MacOS
Befehlstaste-Umschalttaste-I;iCloud Drive öffnen.;MacOS
Befehlstaste-Umschalttaste-K;"Fenster ""Netzwerk"" öffnen.";MacOS
Befehlstaste-Wahltaste-L;"Ordner ""Downloads"" öffnen.";MacOS
Befehlstaste-Umschalttaste-O;"Ordner ""Dokumente"" öffnen.";MacOS
Befehlstaste-Umschalttaste-R;"Fenster ""AirDrop"" öffnen.";MacOS
Befehlstaste-Umschalttaste-T;Das ausgewählte Finder-Objekt dem Dock hinzufügen (OS X Mountain Lion oder älter).;MacOS
Befehlstaste-Umschalttaste-Ctrl-T;Das ausgewählte Finder-Objekt dem Dock hinzufügen (OS X Mavericks oder neuer).;MacOS
Befehlstaste-Umschalttaste-U;"Ordner ""Dienstprogramme"" öffnen.";MacOS
Befehlstaste-Wahltaste-D;Das Dock ein- oder ausblenden. Dies funktioniert häufig auch, wenn Sie sich nicht im Finder befinden.;MacOS
Befehlstaste-Ctrl-T;Das ausgewählte Objekt der Seitenleiste hinzufügen (OS X Mavericks oder neuer).;MacOS
Befehlstaste-Wahltaste-P;Pfadleiste in Finder-Fenstern ein- oder ausblenden.;MacOS
Befehlstaste-Wahltaste-S;Seitenleiste in Finder-Fenstern ein- oder ausblenden.;MacOS
Befehlstaste-Schrägstrich (/);Statusleiste in Finder-Fenstern ein- oder ausblenden.;MacOS
Befehlstaste-J;Darstellungsoptionen einblenden.;MacOS
Befehlstaste-K;"Das Fenster ""Mit Server verbinden"" öffnen.";MacOS
Befehlstaste-L;Alias des ausgewählten Objekts erstellen.;MacOS
Befehlstaste-N;Neues Finder-Fenster öffnen.;MacOS
Befehlstaste-Umschalttaste-N;Neuen Ordner erstellen.;MacOS
Befehlstaste-Wahltaste-N;Neuen intelligenten Ordner erstellen.;MacOS
Befehlstaste-R;Originaldatei für das ausgewählte Alias anzeigen.;MacOS
Befehlstaste-T;Tableiste ein- oder ausblenden, wenn nur ein Tab im aktuellen Finder-Fenster geöffnet ist.;MacOS
Befehlstaste-Umschalttaste-T;Finder-Tab ein- oder ausblenden.;MacOS
Befehlstaste-Wahltaste-T;Symbolleiste ein- oder ausblenden, wenn nur ein Tab im aktuellen Finder-Fenster geöffnet ist.;MacOS
Befehlstaste-Wahltaste-V;Bewegen: Die Dateien in der Zwischenablage von ihrem ursprünglichen zum aktuellen Speicherort bewegen.;MacOS
Befehlstaste-Wahltaste-Y;In der Übersicht eine Diashow der ausgewählten Dateien anzeigen.;MacOS
Befehlstaste-Y;"Die Funktion ""Übersicht"" zum Anzeigen einer Schnellvorschau der ausgewählten Dateien nutzen.";MacOS
Befehlstaste-1;Die Objekte im Finder-Fenster als Symbole anzeigen.;MacOS
Befehlstaste-2;Die Objekte im Finder-Fenster als Liste anzeigen.;MacOS
Befehlstaste-3;Die Objekte im Finder-Fenster in Spalten anzeigen. ;MacOS
Befehlstaste-4;Die Objekte im Finder-Fenster mit Cover Flow anzeigen.;MacOS
Befehlstaste-linke eckige Klammer ([);Zum vorherigen Ordner wechseln.;MacOS
Befehlstaste-rechte eckige Klammer (]);Zum nächsten Ordner wechseln.;MacOS
Befehlstaste-Aufwärtspfeil;Ordner mit dem aktuellen Ordner öffnen.;MacOS
Befehlstaste-Ctrl-Aufwärtspfeil;Ordner mit dem aktuellen Ordner in einem neuen Fenster öffnen.;MacOS
Befehlstaste-Abwärtspfeil;Ausgewähltes Objekt öffnen.;MacOS
Befehlstaste-Mission Control;Den Schreibtisch anzeigen. Dies funktioniert auch, wenn Sie sich nicht im Finder befinden.;MacOS
Befehlstaste-Helligkeit erhöhen;Bildschirm-Synchronisationsmodus starten oder beenden.;MacOS
Befehlstaste-Helligkeit verringern;Bildschirmsynchronisation ein- bzw. ausschalten, wenn der Mac mit mehr als einem Monitor verbunden ist.;MacOS
Rechtspfeil ;Ausgewählten Ordner öffnen. Diese Funktion ist nur in der Listendarstellung verfügbar.;MacOS
Linkspfeil;Ausgewählten Ordner schließen. Diese Funktion ist nur in der Listendarstellung verfügbar.;MacOS
Wahltaste-Doppelklick;Einen Ordner in einem neuen Fenster öffnen und das aktuelle Fenster schließen.;MacOS
Befehlstaste-Doppelklick;Einen Ordner in einem neuen Tab oder Fenster öffnen.;MacOS
Befehlstaste-Rückschritttaste;Das markierte Objekt in den Papierkorb verschieben.;MacOS
Befehlstaste-Umschalttaste-Rückschritttaste;Den Papierkorb leeren.;MacOS
Befehlstaste-Umschalttaste-Wahltaste-Rückschritttaste;Den Papierkorb ohne Bestätigungsdialog leeren.;MacOS
Befehlstaste-Y;"Die Funktion ""Übersicht"" zum Anzeigen einer Dateivorschau verwenden.";MacOS
Wahltaste-Helligkeit erhöhen;"Systemeinstellung ""Monitore"" öffnen. Dies funktioniert mit beiden Helligkeitstasten.";MacOS
Wahltaste-Mission Control;"Systemeinstellung ""Mission Control"" öffnen.";MacOS
Wahltaste-Lauter;"Systemeinstellung ""Ton"" öffnen. Dies funktioniert mit allen Lautstärketasten.";MacOS
Befehlstaste beim Ziehen;Gezogenes Objekt auf ein anderes Volume oder an einen anderen Speicherort verschieben. Der Mauszeiger ändert sich, während Sie das Objekt ziehen.;MacOS
Wahltaste beim Ziehen;Gezogenes Objekt kopieren. Der Mauszeiger ändert sich, während Sie das Objekt ziehen.;MacOS
Befehlstaste-Wahltaste beim Ziehen;Alias des gezogenen Objekts erstellen. Der Mauszeiger ändert sich, während Sie das Objekt ziehen.;MacOS
Wahltaste-Klick auf ein Erweiterungsdreieck;Alle Ordner im ausgewählten Ordner öffnen. Diese Funktion ist nur in der Listendarstellung verfügbar.;MacOS
Befehlstaste-Klick auf Fenstertitel;Ordner anzeigen, die den aktuellen Ordner enthalten.;MacOS
Shift-Left Arrow;Moves the cursor to the left one character, extending the selection;Visual Studio
Shift-Alt-Left Arrow;Moves the cursor to the left one character, extending the column selection;Visual Studio
Shift-Right Arrow;Moves the cursor to the right one character, extending the selection;Visual Studio
Shift-Alt-Right Arrow;Moves the cursor to the right one character, extending the column selection;Visual Studio
Ctrl-Shift-End;Moves the cursor to the end of the document, extending the selection;Visual Studio
Ctrl-Shift-Home;Moves the cursor to the start of the document, extending the selection;Visual Studio
Ctrl-Shift-];Moves the cursor to the next brace, extending the selection;Visual Studio
Shift-Down Arrow;Moves the cursor down one line, extending the selection;Visual Studio
Shift-Alt-Down Arrow;Moves the cursor down one line, extending the column selection;Visual Studio
Shift-End;Moves the cursor to the end of the current line, extending the selection;Visual Studio
Shift-Alt-End;Moves the cursor to the end of the line, extending the column selection;Visual Studio
Shift-Home;Moves the cursor to the start of the line, extending the selection;Visual Studio
Shift-Alt-Home;Moves the cursor to the start of the line, extending the column selection;Visual Studio
Shift-Up Arrow;Moves the cursor up one line, extending the selection;Visual Studio
Shift-Alt-Up Arrow;Moves the cursor up one line, extending the column selection;Visual Studio
Shift-Page Down;Extends selection down one page;Visual Studio
Shift-Page Up;Extends selection up one page;Visual Studio
Ctrl-A;Selects everything in the current document;Visual Studio
Ctrl-W;Selects the word containing the cursor or the word to the right of the cursor;Visual Studio
Ctrl-=;Selects from the current location in the editor back to the previous location in the navigation history;Visual Studio
Ctrl-Shift-Page Down;Moves the cursor to the last line in view, extending the selection;Visual Studio
Ctrl-Shift-Page Up;Moves the cursor to the top of the current window, extending the selection;Visual Studio
Ctrl-Shift-Alt-Right Arrow;Moves the cursor to the right one word, extending the column selection;Visual Studio
Ctrl-Shift-Left Arrow;Moves the cursor one word to the left, extending the selection;Visual Studio
Ctrl-Shift-Alt-Left Arrow;Moves the cursor to the left one word, extending the column selection;Visual Studio
Ctrl-X or Shift-Delete;Cuts the currently selected item to the clipboard;Visual Studio
Ctrl-C or Ctrl-Insert;Copies the currently selected item to the clipboard;Visual Studio
Ctrl-V or Shift-Insert;Pastes the item in the clipboard at the cursor;Visual Studio
Ctrl-Z or Alt-Backspace;Undo previous editing action;Visual Studio
Ctrl-Y or Ctrl-Shift-Z;Redo the previous undo action;Visual Studio
Ctrl-Shift-V or Ctrl-Shift-Insert;Pastes an item from the clipboard ring tab of the Toolbox at the cursor in the file and automatically selects the pasted item. Cycle through the items on the clipboard by pressing the shortcut keys repeatedly;Visual Studio
Esc;Closes a menu or dialog, cancels an operation in progress, or places focus in the current document window;Visual Studio
Ctrl-S;Saves the selected files in the current project (usually the file that is being edited);Visual Studio
Ctrl-Shift-S;Saves all documents and projects;Visual Studio
Ctrl-P;Displays the Print dialog;Visual Studio
F7;Switches from the design view to the code view in the editor;Visual Studio
Shift-F7;Switches from the code view to the design view in the editor;Visual Studio
F8;Moves the cursor to the next item, for example in the TaskList window or Find Results window;Visual Studio
Shift-F8;Moves the cursor to the previous item, for example in the TaskList window or Find Results window;Visual Studio
Shift-F12;Finds a reference to the selected item or the item under the cursor;Visual Studio
Ctrl-Shift-G;Opens the file whose name is under the cursor or is currently selected;Visual Studio
Ctrl-/;Switches focus to the Find/Command box on the Standard toolbar;Visual Studio
Ctrl-Shift-F12;Moves to the next task in the TaskList window;Visual Studio
Ctrl-Shift-8;Moves backward in the browse history. Available in the object browser or Class View window;Visual Studio
Alt-Left Arrow;Go back in the web browser history;Visual Studio
Alt-Right Arrow;Go forward in the web browser history;Visual Studio
Left Arrow;Moves the cursor one character to the left;Visual Studio
Right Arrow;Moves the cursor one character to the right;Visual Studio
Down Arrow;Moves the cursor down one line;Visual Studio
Up Arrow;Moves the cursor up one line;Visual Studio
Page Down;Scrolls down one screen in the editor window;Visual Studio
Page Up;Scrolls up one screen in the editor window;Visual Studio
End;Moves the cursor to the end of the current line;Visual Studio
Home;Moves the cursor to the beginning of the line. If you press Home when the cursor is already at the start of the line, it will toggle the cursor between the first non-whitespace character and the real start of the line;Visual Studio
Ctrl-End;Moves the cursor to the end of the document;Visual Studio
Ctrl-Home;Moves the cursor to the start of the document;Visual Studio
Ctrl-G;Displays the Go to Line dialog. If the debugger is running, the dialog also lets you specify addresses or function names to go to;Visual Studio
Ctrl-];Moves the cursor to the matching brace in the document. If the cursor is on an opening brace, this will move to the corresponding closing brace and vice versa;Visual Studio
Ctrl-K, Ctrl-N;Moves to the next bookmark in the document;Visual Studio
Ctrl-K, Ctrl-P;Moves to the previous bookmark;Visual Studio
Ctrl-K, Ctrl-I;Displays Quick Info, based on the current language;Visual Studio
Ctrl-Down Arrow;Scrolls text down one line but does not move the cursor. This is useful for scrolling more text into view without losing your place. Available only in text editors;Visual Studio
Ctrl-Up Arrow;Scrolls text up one line but does not move the cursor. Available only in text editors;Visual Studio
Ctrl-Right Arrow;Moves the cursor one word to the right;Visual Studio
Ctrl-Left Arrow;Moves the cursor one word to the left;Visual Studio
Ctrl-Shift-1;Navigates to the next definition, declaration, or reference of an item. Available in the object browser and Class View window. Also available in source editing windows if you have already used the Edit.GoToReference (Shift-F12) shortcut;Visual Studio
Ctrl-Shift-2;Navigates to the previous definition, declaration, or reference of an item;Visual Studio
Enter;Inserts a new line;Visual Studio
Delete;Deletes one character to the right of the cursor;Visual Studio
Insert;Toggles between insert and overtype insertion modes;Visual Studio
Tab;Indents the currently selected line or lines by one tab stop. If there is no selection, this inserts a tab stop;Visual Studio
Shift-Tab;Moves current line or selected lines one tab stop to the left;Visual Studio
Backspace or Shift-Backspace;Deletes one character to the left of the cursor;Visual Studio
Ctrl-K, Ctrl-C;Marks the current line or selected lines of code as a comment, using the correct comment syntax for the programming language;Visual Studio
Ctrl-K, Ctrl-U;Removes the comment syntax from the current line or currently selected lines of code;Visual Studio
Ctrl-T or Shift-Enter;Swaps the characters on either side of the cursor. (For example, AC|BD becomes AB|CD.) Available only in text editors;Visual Studio
Ctrl-K, Ctrl-L;Removes all unnamed bookmarks in the current document;Visual Studio
Ctrl-M, Ctrl-O;Automatically determines logical boundaries for creating regions in code, such as procedures, and then hides them. This collapses all such regions in the current document;Visual Studio
Alt-Right Arrow or Ctrl-Spacebar;Displays statement completion based on the current language or autocompletes word if existing text unambiguously identifies a single symbol;Visual Studio
Ctrl-K, Ctrl-\;Removes horizontal whitespace in the selection or deletes whitespace adjacent to the cursor if there is no selection;Visual Studio
Ctrl-K, Ctrl-F;Applies the indenting and space formatting for the language as specified on the Formatting pane of the language in the Text Editor section of the Options dialog to the selected text.;Visual Studio
Ctrl-L;Cuts all selected lines or the current line if nothing has been selected to the clipboard;Visual Studio
Ctrl-Shift-L;Deletes all selected lines or the current line if no selection has been made;Visual Studio
Ctrl-Enter;Inserts a blank line above the cursor;Visual Studio
Ctrl-Shift-Enter;Inserts a blank line below the cursor;Visual Studio
